Gene	Length	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12
NM_001001809	942	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001810	924	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001880	2250	660	400	756	435	220	113	112	300	252	123	20	402
NM_001001881	5162	1	0	0	0	0	0	0	0	0	0	0	0
NM_001001882	4378	1257	787	867	245	389	147	205	208	308	168	83	154
NM_001001883	11179	0	2	194	0	0	36	0	49	35	13	2	63
NM_001001884	4854	32	0	3	25	4	0	0	0	10	5	9	14
NM_001001885	3945	134	0	468	1	56	0	0	0	0	0	0	0
NM_001001892	1646	186	4	117	46	22	3	32	2	212	62	21	35
NM_001001932	7836	21	9	174	0	2	83	21	1	58	2	0	49
NM_001001979	7128	1	0	0	0	1	0	0	0	0	0	0	0
NM_001001980	6142	2	1	1	25	0	0	1	0	0	0	76	1
NM_001001981	3694	18	16	16	34	5	3	4	6	2	10	2	9
NM_001001982	4716	1	0	0	0	0	0	0	0	0	0	1	0
NM_001001983	6431	435	609	293	81	128	77	62	57	37	102	75	46
NM_001001984	7265	409	404	460	64	99	81	32	152	51	31	7	26
NM_001001985	6529	84	0	0	20	81	0	0	1	44	1	0	46
NM_001001986	5614	5	1	1	11	1	10	0	0	24	1	0	0
NM_001001999	2085	0	0	0	0	0	0	0	0	0	0	0	0
NM_001002004	7439	224	337	182	218	69	169	56	199	140	121	54	127
NM_001002005	3412	0	1	0	0	0	0	0	0	1	0	0	0
NM_001002008	2597	21	47	142	56	45	47	31	104	12	1	81	144
NM_001002011	3152	42	311	53	34	50	312	31	5	11	6	3	18
NM_001002012	2522	1	0	4	45	0	55	0	107	39	0	0	0
NM_001002238	4914	0	0	0	126	0	70	0	1	0	0	23	0
NM_001002239	775	11	11	19	6	1	5	4	11	5	2	1	4
NM_001002240	4887	0	0	0	126	0	70	0	1	0	0	23	0
NM_001002241	5187	0	0	0	126	0	70	0	1	0	0	23	0
NM_001002267	1733	1	2	1	0	40	4	0	0	0	0	0	0
NM_001002268	6505	6	0	2	0	0	54	0	0	0	0	0	0
NM_001002272	6611	144	131	157	58	125	2	35	86	116	93	1	70
NM_001002764	5799	141	6	122	122	13	126	38	61	87	92	62	156
NM_001002786	4105	0	0	0	0	0	0	1	1	0	1	0	0
NM_001002787	2030	0	0	0	0	0	2	0	0	0	0	0	0
NM_001002791	625	0	0	0	0	0	0	0	0	0	0	0	0
NM_001002842	2272	0	0	3	0	0	0	0	0	0	0	0	0
NM_001002846	2058	187	5	179	7	1	140	21	1	87	30	48	1
NM_001002894	3281	2	1	0	0	1	3	0	0	64	0	2	8
NM_001002895	637	155	2	4	21	4	14	11	52	27	4	10	23
NM_001002896	1570	0	0	1	0	0	2	0	0	0	0	0	0
NM_001002897	3902	6	8	1	1	4	10	5	5	0	0	0	50
NM_001002898	1232	0	0	0	0	0	0	0	0	0	0	0	0
NM_001002900	506	0	0	0	0	0	0	0	0	0	0	0	0
NM_001002927	1412	1	1	0	0	1	0	1	0	0	12	47	0
NM_001002929	2147	1202	2339	3664	1528	596	677	649	839	670	854	601	1027
NM_001003393	575	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003405	801	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003664	745	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003666	2116	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003667	1719	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003668	1488	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003669	1488	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003670	1659	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003671	5296	3	194	0	8	0	0	1	0	0	0	0	0
NM_001003672	5422	3	194	0	14	0	0	0	0	0	0	0	0
NM_001003685	1598	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003717	7115	262	50	37	46	2	40	36	2	18	58	40	2
NM_001003719	7873	292	225	7	53	85	1	71	77	105	26	85	117
NM_001003815	6308	323	4	9	4	44	639	14	3	65	7	4	3
NM_001003817	4998	2	2	0	24	1	0	0	5	21	16	19	0
NM_001003824	2992	0	0	0	0	0	0	0	0	4	0	0	0
NM_001003825	2977	0	0	0	0	0	0	0	0	4	0	0	0
NM_001003829	3421	0	0	120	0	0	0	0	0	0	0	0	0
NM_001003893	3059	10	171	16	13	4	32	15	7	9	9	27	6
NM_001003898	6495	1789	1650	1950	613	747	658	282	970	450	394	565	652
NM_001003899	6486	1769	1638	1929	601	743	655	281	959	448	385	564	650
NM_001003908	6144	2375	798	2036	787	462	1299	333	803	729	565	336	1024
NM_001003909	6610	182	321	2	175	158	57	13	91	52	23	5	222
NM_001003910	4365	52	1	1	0	0	0	0	0	31	0	1	0
NM_001003911	5346	30	2	2	0	2	147	0	2	1	0	0	2
NM_001003912	5600	73	0	0	14	0	31	2	0	18	2	6	27
NM_001003913	2787	1636	1148	2086	286	303	406	331	447	313	303	243	501
NM_001003915	3529	0	0	0	0	0	18	0	0	0	0	0	0
NM_001003916	2144	569	74	730	185	9	18	59	42	140	59	0	109
NM_001003917	3764	10	153	11	32	39	21	52	41	40	31	33	57
NM_001003918	5427	6639	3568	1964	793	1115	1392	703	753	680	560	1121	1504
NM_001003919	4150	656	341	430	238	103	138	102	178	112	23	32	173
NM_001003920	2996	1	1	22	0	37	0	0	0	7	0	1	0
NM_001003933	4973	2930	2092	1836	1119	208	270	356	806	738	614	642	649
NM_001003934	5030	2930	2092	1836	1119	208	270	356	806	738	614	642	649
NM_001003939	1865	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003947	1524	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003948	2605	12	12	9	63	70	298	26	22	0	2	65	191
NM_001003949	2223	281	412	482	54	117	107	50	98	100	75	55	94
NM_001003950	2690	721	635	830	191	280	106	104	397	213	189	29	252
NM_001003951	1273	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003952	550	1	0	0	0	0	0	0	0	0	0	0	0
NM_001003953	5162	36	31	59	5	11	5	1	14	12	15	8	20
NM_001003955	6124	106	10	12	12	2	95	1	2	4	19	0	0
NM_001003960	4259	2188	5033	5516	826	1809	575	324	610	3274	1871	575	975
NM_001003961	4319	2188	5036	5516	826	1809	575	324	610	3276	1873	575	976
NM_001003963	4130	2188	5036	5516	826	1809	575	324	610	3276	1873	575	976
NM_001003971	4802	51	1	53	25	1	3	22	0	9	5	1	0
NM_001003972	1190	73	1	53	15	1	0	34	0	17	6	1	0
NM_001003973	1109	73	1	52	15	1	0	34	0	9	6	1	0
NM_001004025	2985	0	1	0	0	0	0	0	0	0	0	0	0
NM_001004061	1342	0	0	1	0	0	0	0	0	0	0	0	0
NM_001004062	5674	37	60	169	2	12	31	13	12	1	10	0	18
NM_001004066	2065	8	17	5	54	81	48	2	57	0	2	0	2
NM_001004138	1034	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004139	5964	0	0	1	1	53	41	23	81	2	49	0	0
NM_001004140	2304	1466	575	536	374	99	2286	574	384	218	207	264	552
NM_001004141	1931	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004142	4806	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004143	4281	2116	692	1014	837	610	600	178	416	447	241	133	374
NM_001004144	3650	181	614	126	104	53	137	71	93	125	61	15	73
NM_001004145	2845	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004147	1505	0	0	0	0	0	0	0	0	0	13	0	0
NM_001004148	3180	4	1	1	2	2	2	1	3	0	0	2	1
NM_001004149	2758	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004150	2046	65	0	0	0	0	0	2	0	1	0	0	0
NM_001004151	3120	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004152	1871	0	0	0	0	0	1	0	0	0	0	0	0
NM_001004153	3448	3270	1388	3430	15	187	1499	454	336	7	12	650	595
NM_001004154	2280	4	184	2	8	0	0	43	0	4	31	1	0
NM_001004155	1986	1	3	4	6	1	1	22	1	39	15	0	95
NM_001004156	4113	123	7	174	0	1	146	1	0	2	2	102	52
NM_001004157	2884	111	0	0	20	0	32	0	0	1	0	0	0
NM_001004158	626	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004159	693	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004164	5204	296	297	812	142	28	23	86	218	140	60	111	206
NM_001004173	3998	3	3	100	9	0	0	0	15	0	8	0	11
NM_001004174	640	14	8	3	28	39	34	22	28	14	13	6	22
NM_001004176	6510	1	0	0	23	0	0	0	0	0	0	0	0
NM_001004177	10401	3	70	24	52	0	23	30	1	30	0	27	0
NM_001004178	1899	0	0	0	0	28	0	0	0	0	0	1	0
NM_001004180	2693	3	30	0	0	26	25	2	19	0	0	0	0
NM_001004182	3092	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004184	2845	546	186	500	2	8	162	102	398	16	0	2	3
NM_001004185	3069	1	92	205	41	17	17	0	2	1	4	1	2
NM_001004187	1783	20	3	0	11	0	32	12	4	44	20	0	22
NM_001004190	4732	8	291	32	4	2	47	2	27	0	19	0	0
NM_001004192	687	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004193	1206	0	0	0	0	0	0	0	0	0	0	0	1
NM_001004194	2940	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004293	4996	0	0	1	23	0	36	1	1	0	0	0	1
NM_001004357	6985	3	0	223	38	41	0	0	59	15	25	0	1
NM_001004359	5789	1202	102	679	220	300	138	306	161	201	92	44	267
NM_001004361	4020	177	256	546	117	98	31	150	60	97	89	10	49
NM_001004362	4186	4	1	1	0	1	1	0	0	49	69	1	0
NM_001004363	5018	192	2	1	45	3	9	4	8	4	0	2	5
NM_001004364	5535	691	85	3	174	24	8	14	39	59	8	33	2
NM_001004365	1711	198	211	311	28	45	10	41	280	25	39	22	76
NM_001004366	2982	0	0	2	0	0	0	0	0	0	0	15	0
NM_001004367	4677	0	2	159	14	0	0	0	0	0	0	0	0
NM_001004435	3225	0	0	0	0	0	0	0	0	0	0	0	1
NM_001004436	4585	969	725	1817	771	429	891	240	860	146	357	304	818
NM_001004455	1767	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004468	9103	265	155	23	61	100	119	61	1	221	1	40	206
NM_001004721	1621	615	59	9	102	63	106	133	64	57	75	45	136
NM_001004761	7141	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004762	2636	0	0	0	1	15	3	1	5	0	7	0	8
NM_001005223	983	887	1986	1272	605	396	322	225	644	457	360	264	439
NM_001005225	945	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005227	1011	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005230	984	0	0	0	0	0	0	0	0	0	1	0	0
NM_001005232	2077	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005247	4604	3	31	1	66	26	27	18	137	30	67	1	59
NM_001005248	4580	3	31	1	66	26	27	18	137	30	67	1	59
NM_001005331	5396	2259	1970	2011	545	811	531	411	658	571	523	336	275
NM_001005341	4902	14	14	4	2	1	0	1	1	10	0	1	1
NM_001005342	752	32	0	0	0	0	0	0	0	0	0	0	0
NM_001005343	2811	1	0	0	0	0	0	0	0	2	0	0	1
NM_001005358	2678	0	5	0	0	1	1	1	2	0	1	1	4
NM_001005370	1306	0	7	1	67	49	43	28	0	28	14	0	173
NM_001005371	1791	0	0	0	0	0	0	0	0	0	1	0	0
NM_001005385	5675	1202	102	679	220	300	138	306	161	201	92	44	267
NM_001005419	4443	572	582	294	145	106	127	138	136	138	96	90	299
NM_001005420	5466	71	0	0	15	1	57	30	31	100	0	10	5
NM_001005421	2458	1	0	0	0	0	0	0	0	0	0	0	0
NM_001005422	1363	0	1	0	0	0	0	0	0	0	0	0	1
NM_001005423	2492	553	186	345	6	28	189	60	78	7	18	44	30
NM_001005424	4684	7	0	0	0	0	0	0	0	13	0	0	0
NM_001005425	3311	0	0	0	0	0	0	0	0	11	0	0	0
NM_001005426	2217	247	4	356	67	2	108	19	1	31	40	74	1
NM_001005475	5207	1	1	0	0	0	0	1	0	24	0	0	0
NM_001005477	2314	1	1	0	0	0	0	0	0	0	0	0	0
NM_001005481	942	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005485	954	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005488	921	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005506	4682	699	769	1642	454	406	266	162	404	226	280	122	264
NM_001005507	5790	665	481	56	88	207	202	79	257	240	51	88	258
NM_001005508	4485	0	0	0	87	56	69	65	71	0	62	1	0
NM_001005509	2299	3434	2951	4560	1182	509	718	530	914	889	622	675	1610
NM_001005510	21718	109	6	4	121	9	66	1	0	8	63	27	87
NM_001005511	4828	0	0	0	3	0	0	0	0	0	0	0	0
NM_001005520	924	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005523	4234	367	403	800	109	190	63	107	226	55	81	88	112
NM_001005524	921	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005525	2170	1251	1401	2859	575	847	234	406	953	235	311	297	627
NM_001005568	918	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005569	930	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005570	924	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005605	6192	397	513	235	136	133	923	76	320	193	56	351	142
NM_001005608	6160	7	2	118	1	1	80	35	0	1	1	41	2
NM_001005740	5293	8	13	3	55	0	16	1	1	67	1	0	0
NM_001005748	3835	6	13	2	48	0	16	1	1	70	1	0	0
NM_001005767	1322	546	1177	814	566	351	253	185	302	364	315	140	260
NM_001005784	3335	0	0	0	18	0	0	1	0	0	0	0	0
NM_001005787	2833	2	1	0	0	1	170	0	3	28	1	0	0
NM_001005788	2362	64	8	8	12	1	21	1	0	0	38	0	1
NM_001005846	2492	2	1	1	0	0	0	0	0	0	0	0	0
NM_001005847	1266	430	111	217	83	78	20	32	132	106	21	28	16
NM_001005854	2122	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005858	2013	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005859	403	8	12	11	3	0	2	3	0	2	2	1	2
NM_001005860	776	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005863	6550	16	10	12	28	49	247	191	5	112	29	31	136
NM_001005864	4154	16	10	12	28	49	247	191	5	108	29	16	136
NM_001005865	4149	17	10	12	28	49	262	194	5	108	29	10	136
NM_001005866	5004	36	31	59	5	11	5	1	14	12	16	8	20
NM_001005867	3957	672	390	390	402	169	302	124	135	152	87	52	103
NM_001005868	6592	318	48	15	86	24	13	21	42	115	43	19	68
NM_001005916	2784	109	173	181	49	72	37	63	0	9	20	43	3
NM_001006664	6220	323	4	9	4	44	639	14	3	65	7	4	3
NM_001006668	2956	0	0	0	0	0	0	0	0	4	0	0	0
NM_001006669	2884	0	0	0	0	0	0	0	0	4	0	0	0
NM_001006674	2439	0	0	0	0	0	0	0	0	4	0	0	0
NM_001006675	2939	0	0	0	0	0	0	0	0	4	0	0	0
NM_001006676	1864	0	0	0	0	0	0	0	0	4	0	0	0
NM_001006677	2059	4	7	1	0	0	0	0	0	4	0	0	1
NM_001006678	1274	0	0	0	0	0	0	0	0	4	0	0	0
NM_001006679	1734	0	0	0	0	0	0	0	0	4	0	0	0
NM_001006680	2291	0	0	0	0	0	0	0	0	4	0	0	0
NM_001007077	1837	0	0	0	3	4	5	0	0	0	3	1	4
NM_001007154	2694	164	0	0	0	0	0	0	1	1	0	0	0
NM_001007220	2777	0	0	0	0	0	4	0	0	0	0	0	0
NM_001007221	2629	0	0	0	0	0	4	0	0	0	0	0	0
NM_001007222	1093	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007223	591	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007266	1020	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007268	1744	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007460	1278	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007461	1477	0	0	0	0	0	0	1	0	0	0	0	0
NM_001007462	1144	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007463	1247	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007465	3575	444	152	365	207	39	173	16	238	135	111	56	266
NM_001007472	956	0	1	0	0	0	0	0	0	0	0	0	0
NM_001007567	1234	286	19	85	103	55	97	26	137	29	49	167	6
NM_001007568	3501	2	51	81	15	0	0	36	0	19	46	0	58
NM_001007569	1687	0	0	0	0	1	10	9	1	0	1	0	20
NM_001007570	3172	1	3	0	10	0	12	0	0	1	0	0	0
NM_001007571	581	1528	995	1158	452	516	367	255	544	296	216	180	545
NM_001007572	2600	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007573	2727	220	4	1	24	13	0	1	10	8	25	2	93
NM_001007575	2359	3	2	7	0	0	0	0	0	1	16	0	0
NM_001007576	8122	0	0	0	0	0	0	0	0	0	0	0	1
NM_001007577	4047	32	0	1	81	1	0	0	7	16	19	1	1
NM_001007578	2012	2	0	0	2	0	0	1	0	5	24	0	0
NM_001007579	2103	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007580	4812	3	105	3	483	29	0	2	7	107	171	59	1
NM_001007581	1868	80	7	38	13	23	33	5	13	15	17	22	19
NM_001007582	496	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007583	2719	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007584	1681	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007589	1719	2528	1176	796	665	230	376	373	419	423	503	83	486
NM_001007591	1750	0	0	0	0	0	0	0	0	0	0	0	0
NM_001007596	1545	5	179	1	275	18	13	3	2	202	118	148	1
NM_001008230	2428	0	0	0	0	0	0	0	0	0	0	0	0
NM_001008231	6045	1	1	0	0	0	0	0	0	0	0	0	0
NM_001008232	3859	236	115	159	21	28	59	3	0	16	0	0	0
NM_001008233	4095	3	3	1	5	22	49	1	0	0	0	0	0
NM_001008238	945	63	60	15	9	19	27	11	35	16	19	0	59
NM_001008419	4775	0	0	0	0	0	0	0	0	0	0	3	0
NM_001008420	5639	1	0	0	0	0	0	0	0	0	0	0	0
NM_001008421	2986	355	339	784	84	153	103	115	231	89	113	62	71
NM_001008422	4177	155	122	106	15	24	31	9	5	21	8	8	24
NM_001008423	4399	0	1	1	24	0	0	0	0	0	0	0	0
NM_001008424	2678	0	1	0	0	1	26	0	0	0	0	0	1
NM_001008425	1431	1243	1346	556	275	259	518	204	429	137	270	135	353
NM_001008426	2527	0	0	1	0	0	0	0	1	0	0	0	0
NM_001008427	3145	28	13	12	5	21	6	3	28	0	11	19	14
NM_001008428	1481	0	0	0	0	0	0	0	0	0	0	0	0
NM_001008429	1032	0	0	0	0	0	0	0	0	0	0	0	0
NM_001008497	1672	0	0	0	0	0	25	0	0	1	0	0	51
NM_001008498	1800	28	806	2	77	65	205	61	85	18	64	33	155
NM_001008499	1044	0	0	0	0	1	0	0	0	0	0	0	0
NM_001008501	4209	22	83	730	133	1	147	51	111	121	53	95	3
NM_001008502	2434	4	93	1	21	0	47	1	38	46	33	81	0
NM_001008506	3161	1048	823	205	211	272	342	104	440	257	170	162	224
NM_001008533	5782	6	11	8	0	0	1	0	0	0	0	1	0
NM_001008542	5156	150	245	19	28	8	46	99	3	35	26	107	87
NM_001008543	4843	150	245	19	28	8	46	99	3	35	26	107	87
NM_001008545	6513	1789	1650	1954	613	751	660	282	970	450	395	565	652
NM_001008546	6425	1787	1650	1949	613	747	656	282	969	450	393	565	651
NM_001008547	778	0	0	1	0	0	0	0	0	0	0	0	0
NM_001008548	4198	0	0	1	35	23	23	1	1	51	42	0	89
NM_001008549	3381	0	0	0	0	0	0	0	0	37	0	0	1
NM_001008550	9368	134	441	248	33	18	71	36	2	1	54	1	97
NM_001008551	1475	0	0	0	0	0	0	0	0	0	0	0	0
NM_001008551	1475	0	0	0	0	0	0	0	0	0	0	0	0
NM_001008700	5094	0	0	0	0	0	0	1	0	0	0	0	0
NM_001008702	3789	145	118	107	1	0	0	2	1	4	60	0	4
NM_001008705	705	1345	2034	1461	632	458	644	353	329	430	388	421	523
NM_001008706	549	0	0	0	0	0	0	0	0	0	0	0	0
NM_001008785	4700	863	91	13	50	57	3	62	177	24	86	26	189
NM_001008791	4049	170	118	77	46	1	24	40	0	0	37	4	49
NM_001008792	4028	170	118	77	46	1	24	40	0	0	37	4	49
NM_001008793	4013	170	118	77	46	1	24	40	0	0	37	4	49
NM_001008794	2665	123	117	76	38	0	12	31	0	0	37	0	44
NM_001008795	2632	123	117	76	38	0	12	31	0	0	37	0	44
NM_001008796	2419	123	117	76	37	0	10	31	0	0	37	0	44
NM_001008797	2537	123	117	76	38	0	12	31	0	0	37	0	44
NM_001008798	2869	123	117	76	38	0	12	31	0	0	37	0	44
NM_001008973	2588	0	0	0	0	0	1	0	1	0	0	0	0
NM_001009544	2727	0	1	0	0	0	0	0	0	0	0	0	0
NM_001009545	2271	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009546	2238	0	1	1	0	0	0	0	6	0	0	0	1
NM_001009547	2405	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009548	2589	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009549	2613	65	0	1	0	2	0	0	0	1	1	1	1
NM_001009550	755	0	0	0	0	0	1	0	0	0	0	0	0
NM_001009573	3967	2	0	3	0	7	8	0	0	0	0	7	0
NM_001009574	1014	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009575	2824	72	138	10	69	94	49	17	39	67	39	1	86
NM_001009818	5008	1850	2125	1482	1974	446	803	532	1091	513	1142	177	937
NM_001009819	3390	1	0	0	0	0	0	0	0	0	0	0	0
NM_001009927	2522	55	107	222	1	0	2	2	1	23	12	3	100
NM_001009929	2028	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009930	2160	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009935	2801	409	130	1446	417	60	709	129	188	305	264	304	522
NM_001009940	1023	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009947	6665	401	231	131	54	4	92	58	32	71	13	9	59
NM_001009948	1380	69	3	0	0	0	1	3	63	0	0	4	0
NM_001009949	4432	219	26	10	51	8	88	26	22	91	196	54	17
NM_001009950	2622	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009951	1399	505	280	218	89	40	266	109	179	80	67	74	126
NM_001009952	520	0	0	0	0	0	0	0	0	0	0	0	0
NM_001009978	1612	0	0	0	34	0	0	0	0	0	0	0	0
NM_001009979	1639	0	0	0	34	0	0	0	0	0	0	0	0
NM_001010825	3161	139	105	3	33	66	1	1	0	0	0	0	0
NM_001010826	2310	0	0	0	0	2	0	0	0	0	0	0	0
NM_001010827	1077	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010828	1038	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010829	1077	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010830	1035	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010831	1047	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010833	7352	957	412	1132	270	526	157	262	709	115	213	125	328
NM_001010834	3923	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010835	1077	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010836	3130	4	3	95	31	3	61	21	112	0	0	12	3
NM_001010837	1035	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010838	1077	0	0	0	0	0	0	0	0	0	0	0	0
